,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
96,Long Beach State,192.0,33,25,0,0,0,0.0,0,0,0,0,0,0,33,25,33,25,0,0,0,0.0,31,42,3,25,0,0
97,Old Dominion (Va.),191.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
98,Northern Arizona,190.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42,28.5,0,0,0,0
99,South Florida,189.5,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,33,25,33,25,0,0.0,0,0,0,0,0,0
100,New Hampshire,187.0,0,0,0,0,0,0.0,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
101,Southern Illinois,186.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,47.5,0,0,0,0,0,0
102,Hofstra (N.Y.),185.0,0,0,0,0,0,0.0,0,0,9,25,0,0,17,50,0,0,0,0,0,0.0,0,0,0,0,0,0
103,Brown (R.I.),184.0,0,0,0,0,0,0.0,0,0,0,0,1,100,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
103,Nevada-Reno,184.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0,0,0,0,0
105,William and Mary (Va.),183.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,17,50,0,0,53,19.5,0,0,0,0,0,0
106,Portland,180.0,0,0,58,15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
107,Miami (Ohio),178.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,11.0,0,0,0,0,0,0
108,Furman (S.C.),175.0,0,0,24,50,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,0,0
109,Mississippi State,171.5,0,0,0,0,27,46.5,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,71,5,0,0,0,0
110,Liberty (Va.),169.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38,34.5,0,0,0,0
111,Cal State Fullerton,168.5,9,64,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0
112,Villanova (Penn.),168.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25,46.5,0,0,0,0
113,Central Florida,166.0,0,0,49,24,55,17.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0,0,0,0,0
114,St. Johns (N.Y.),164.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
115,Sacremento State (Calif.),163.5,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,33,25,0,0,0,0.0,0,0,0,0,0,0
115,UNLV,163.5,0,0,16,58.5,70,5.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0
117,James Madison (Va.),160.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
118,East Carolina (N.C.),159.0,17,50,34,39,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0,0,0
119,Temple (Penn.),158.0,0,0,0,0,0,0.0,9,25,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0
120,Army,157.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0
121,East Tennessee State,156.0,0,0,43,30,22,51.0,0,0,0,0,0,0,0,0,0,0,17,50,0,0.0,0,0,0,0,0,0
