,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,W. WP,W. WP,W. WP
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
117,Tennessee Chattanooga,SoCon,FCS,149.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,70.0,54.0,25.0
118,Montana State,Big Sky,FCS,148.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,5,0,0,0,0.0,25.0,118.0,5.0
118,Navy,Patriot,FBS,148.0,0,0,0,0,0,0.0,0,0,0,0,21,32,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,72.0,19.0,57.0
120,Colorado State,Mountain West,FBS,144.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,144.0,0.0,0.0
120,South Alabama,Sun Belt,FBS,144.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,33,25,0,0,0,0,51,19,0,0,0,0.0,50.0,0.0,94.0
122,Northern Iowa,Missouri Valley,FCS,143.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,53.0,90.0,0.0
122,Sam Houston State,Southland,FCS,143.0,0,0,0,0,67,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,83.0,55.0,5.0
122,William & Mary,CAA,FCS,143.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,35,36,0,0,0,0,0,0.0,57.0,0.0,86.0
125,VCU,Atlantic 10,DI,141.0,9,64,0,0,49,22.0,0,0,0,0,0,0,0,0,33,25,0,0,68,5,0,0,0,0,0,0.0,0.0,25.0,116.0
126,DePaul,Big East,DI,140.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0.0,25.0,65.5,50.0
127,Cincinnati,American,FBS,134.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,66,5,51,19,0,0,0,0.0,25.0,85.0,24.0
128,Indiana State,Missouri Valley,FCS,133.5,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,42,29.5,0,0,0,0,0,0.0,53.0,26.0,54.5
129,UAB,Conference USA,FBS,129.5,0,0,0,0,19,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,50.0,54.5
130,Furman,SoCon,FCS,128.5,0,0,37,34.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,94.0,0.0,34.5
131,Eastern Michigan,MAC,FBS,128.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,33,0,0,0,0.0,27.0,68.0,33.0
131,Fordham,Atlantic 10,FCS,128.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0.0,50.0
131,Xavier,Big East,DI,128.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64.0,64.0,0.0
134,Jacksonville State,OVC,FCS,126.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,53.0,73.0,0.0
135,James Madison,CAA,FCS,125.0,0,0,0,0,0,0.0,17,25,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,25.0,50.0
136,Cal State Fullerton,Big West,DI,123.0,7,73,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,73.0
137,South Dakota State,Summit,FCS,122.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,44.0,0.0
138,East Carolina,American,FBS,118.0,49,25,0,0,49,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,33,0,0,0,0.0,25.0,13.0,80.0
139,Lehigh,Patriot,FCS,113.0,49,25,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,63.0,50.0
139,Northeastern,CAA,DI,113.0,0,0,0,0,0,0.0,0,0,0,0,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,25.0,38.0
