,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,Beach VB,Beach VB,Beach VB,Beach VB,Beach VB
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
99,North Carolina A&T,MEAC,FCS,187.0,49,25.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,23,0,0,0,0,0,0,45.0,94.0,48.0
100,Hawaii,Big West,FBS,184.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,3,55,25.0,79.0,80.0
101,Sam Houston State,Southland,FCS,178.5,0,0.0,0,0.0,67,5.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,90.5,5.0
102,Eastern Michigan,MAC,FBS,178.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.5,97.5,0.0
103,Pennsylvania,Ivy League,FCS,177.5,0,0.0,0,0.0,0,0.0,9,53,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,124.5,53.0
104,Cincinnati,American,FBS,175.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,34,39,0,0,0,0,0,0,0,0,0.0,136.5,39.0
105,San Francisco,WCC,DI,174.5,0,0.0,0,0.0,73,5.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,44,29.5,0,0,0,0,0,0,0,0,140.0,0.0,34.5
106,Army West Point,Patriot,FBS,173.0,33,37.5,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,78.5,32.0,62.5
107,Providence,Big East,DI,170.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,111.5,0.0
107,Rutgers,Big Ten,FBS,170.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,46,27,0,0,0,0,0,0,50.0,93.0,27.0
