,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten.,,W. T&F,,M. T&F,,M. VB,,W. WP,
,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
132,Villanova,119.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,36,0,0,0,0
133,South Florida,119,0,0,49,24,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
134,Liberty (Va.),118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,51,0,0,0,0
135,McNeese State,116.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,15.5,0,0,0,0
136,Furman,116.5,0,0,31,41.5,0,0,0,0,0,0,0,0,49,25,33,25,0,0,0,0,0,0,0,0,0,0
137,Idaho,114,0,0,35,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Portland,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Gardner-Webb,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Maryland Baltimore County,110,0,0,0,0,0,0,0,0,5,60,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
141,Temple (Penn.),109.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Delaware,108,0,0,0,0,0,0,0,0,3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Alabama Birmingham,108,0,0,0,0,40,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,East Carolina,107,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Louisiana Lafayette,105,17,50,0,0,67,5,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0
145,Central Michigan,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Northern Illinois,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,North Carolina Greensboro,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Weber State,101.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,43.5,0,0,0,0,0,0
150,Kent State,100.5,49,25,29,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,0
151,Creighton,100,33,25,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
152,Lehigh,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,DePaul (Ill.),98,0,0,0,0,0,0,0,0,0,0,0,0,5,73,0,0,0,0,0,0,0,0,0,0,0,0
154,Richmond,97,0,0,0,0,0,0,9,25,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
154,Maine,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Tennessee Chattanooga,96,0,0,0,0,55,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Maryland Eastern Shore,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,0
158,Northern Arizona,93.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42.5,0,0,0,0
159,Texas A&M Corpus Christi,92.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,30,42.5,0,0,0,0
159,San Jose State,92.5,0,0,25,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Binghamton,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,15.5,0,0,0,0
162,Towson,89,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,South Alabama,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,34,39,0,0,0,0
162,San Diego,89,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Marist (N.Y.),89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
162,George Washington (D.C.),89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Manhattan (N.Y.),87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,41,30.5,0,0,0,0
168,Ohio,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Sam Houston State (Tex.),86.5,17,50,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,59,11.5,0,0,0,0,0,0
169,Bucknell,86.5,0,0,0,0,76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Jacksonville State (Ala.),86,0,0,58,15,52,21,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
172,Miami (Ohio),85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Youngstown State,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Montana,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Lamar (Tex.),82.5,0,0,0,0,3,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Wisconsin Green Bay,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Texas State San Marcos,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,37.5,0,0,0,0,0,0
178,Monmouth,78.5,49,25,0,0,79,5,0,0,0,0,0,0,0,0,0,0,0,0,46,23.5,0,0,0,0,0,0
179,Georgia State,76,0,0,0,0,16,51,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
179,East Tennessee State,76,0,0,0,0,16,51,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
181,Eastern Michigan,75.5,0,0,0,0,43,30,0,0,0,0,0,0,49,25,0,0,0,0,0,0,55,15.5,0,0,0,0
182,Xavier (Ohio),75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Wisconsin-Milwaukee,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Western Michigan,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0
182,Vermont,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Southern Mississippi,75,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Prairie View A&M,75,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Long Island,75,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
182,James Madison,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Holy Cross (Mass.),75,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Drake,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
182,Belmont,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Louisiana Tech,73.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,31,0,0,0,0,0,0
194,Sacred Heart (Conn.),72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Murray State (Ky.),71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
196,Troy,70,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Indiana/Purdue Ft. Wayne,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,70,0,0
196,Cincinnati,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Western Carolina (N.C.),68,17,50,55,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Cal State Northridge,67.5,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,30,42.5,0,0,0,0
