,,,,Final,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
71,Pepperdine,WCC,DI,284.5,0,0,5,72.75,5,72.75,0,0,0,0,0,0,0,0,9,64,17,50,0,0,0,0,0,0,0,0,0,0
72,Purdue,Big Ten,FBS,284,0,0,31,40.5,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,SMU,American,FBS,279.25,0,0,11,65.25,0,0,0,0,0,0,9,63,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0
74,New Mexico,Mountain West,FBS,275.55,0,0,9,68.25,25,48.5,0,0,0,0,0,0,0,0,0,0,0,0,33,41,0,0,0,0,0,0,0,0
75,Yale,Ivy League,FCS,273,0,0,0,0,0,0,0,0,9,53,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Montana State,Big Sky,FCS,272.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43.5,0,0,0,0,0,0
77,Quinnipiac,MAAC,DI,265,0,0,67,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
78,Georgia Tech,ACC,FBS,253,0,0,0,0,2,90,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
79,UConn,Big East,FBS,251.5,33,37.5,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Columbia,Ivy League,FCS,241.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
81,Gonzaga,WCC,DI,226,0,0,0,0,0,0,0,0,0,0,19,36,0,0,0,0,0,0,0,0,44,29,0,0,0,0,0,0
82,South Florida,American,FBS,225.5,0,0,44,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,48.5,0,0,0,0,0,0
83,San Diego,WCC,FCS,223.5,0,0,0,0,55,15.5,0,0,0,0,0,0,0,0,17,50,17,50,0,0,0,0,0,0,0,0,0,0
84,Xavier,Big East,DI,223,17,50,37,34,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
85,UCF,American,FBS,221.5,0,0,37,34,0,0,0,0,0,0,0,0,33,37.5,33,25,0,0,0,0,0,0,0,0,0,0,0,0
86,San Diego State,Mountain West,FBS,213,0,0,0,0,37,34,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,South Dakota State,Summit,FCS,211.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Memphis,American,FBS,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,49,24,0,0,0,0,0,0,0,0
89,Ball State,MAC,FBS,206.5,49,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,17,56,0,0,0,0,0,0,0,0
90,Creighton,Big East,DI,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Vermont,America East,DI,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Kansas State,Big 12,FBS,202.5,0,0,0,0,33,39.5,0,0,0,0,0,0,0,0,0,0,0,0,43,28.5,0,0,0,0,0,0,0,0
