Rank,Institution,Conference,Division,Final,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
,,,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
114,Vermont,America East,DI,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Loyola Marymount,WCC,DI,160.5,0,0,0,0,49,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65
116,Fresno State,Mountain West,FBS,160,49,25,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0
117,Albany,America East,FCS,158,0,0,67,5,0,0,0,0,9,45,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Liberty,Conference USA,FBS,155,0,0,0,0,62,10,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,San Diego State,Mountain West,FBS,154.5,0,0,0,0,31,40.5,0,0,0,0,0,0,49,25,33,25,0,0,0,0,0,0,0,0,0,0,0,0
120,Dayton,Atlantic 10,FCS,150,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Miami (OH),MAC,FBS,146.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,High Point,Big South,DI,145.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Jacksonville State,Conference USA,FBS,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Coastal Carolina,Sun Belt,FBS,145,17,50,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Portland,WCC,DI,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,16,0,0,0,0,0,0
126,LIU Brooklyn,Northeast,DI,141,49,25,0,0,0,0,17,25,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
127,Duquesne,Atlantic 10,FCS,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Youngstown State,Horizon League,FCS,139.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Marquette,Big East,DI,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Cal Poly,Big West,FCS,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,3,83
131,Colgate,Patriot,FCS,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Ball State,MAC,FBS,131.5,0,0,0,0,55,16,0,0,0,0,0,0,0,0,0,0,0,0,40,32.5,0,0,0,0,0,0,0,0
133,East Tennessee State,SoCon,FCS,131,0,0,55,16.5,12,64.5,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0
134,New Hampshire,America East,FCS,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Lipscomb,ASUN,DI,129,0,0,0,0,62,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Utah State,Mountain West,FBS,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Omaha,Summit,DI,125,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Louisiana,Sun Belt,FBS,125,17,50,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Western Kentucky,Conference USA,FBS,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Furman,SoCon,FCS,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Ohio,MAC,FBS,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Tulane,American,FBS,118.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Sacramento State,Big Sky,FCS,117.3,0,0,61,9.3,73,5,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0
144,North Florida,ASUN,DI,115,0,0,0,0,29,45,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,9,45
145,Marshall,Sun Belt,FBS,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Florida Gulf Coast,ASUN,DI,112.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,North Dakota State,Summit,FCS,112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Sam Houston State,Conference USA,FBS,111,0,0,43,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Quinnipiac,MAAC,DI,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
150,Wagner,Northeast,FCS,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0
150,Southeast Missouri State,OVC,FCS,107,17,50,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,66,5,0,0,0,0,0,0
152,St. John's (NY),Big East,DI,106.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Lehigh,Patriot,FCS,105,0,0,0,0,0,0,0,0,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Richmond,Atlantic 10,FCS,103,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Mercer,SoCon,FCS,103,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Middle Tennessee State,Conference USA,FBS,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
156,Fairfield,MAAC,DI,100,0,0,0,0,0,0,17,25,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
158,Kent State,MAC,FBS,98.5,0,0,43,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Stetson,ASUN,FCS,97.5,33,37.5,0,0,62,10,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
160,Idaho,Big Sky,FCS,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Texas A&M Corpus Christi,Southland,DI,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,9,45
162,South Dakota,Summit,FCS,93.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,5,0,0,0,0,0,0
163,Boise State,Mountain West,FBS,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
164,Saint Joseph's,Atlantic 10,DI,90,0,0,0,0,0,0,0,0,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Montana,Big Sky,FCS,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Louisiana Tech,Conference USA,FBS,90,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Georgia State,Sun Belt,FBS,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,45
168,Dartmouth,Ivy League,FCS,89.3,0,0,61,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
