,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
94,South Dakota State,Summit,FCS,200,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Brown,Ivy League,FCS,198,0,0,0,0,0,0,0,0,9,53,7,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,New Mexico,Mountain West,FBS,195.5,0,0,0,0,56,16,0,0,0,0,0,0,0,0,0,0,0,0,36,38,0,0,0,0,0,0,0,0
97,Memphis,American,FBS,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0
98,Middle Tennessee State,Conference USA,FBS,189.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,25,47,0,0,0,0,0,0,0,0
99,Houston,American,FBS,189,0,0,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,54,0,0,0,0,0,0
100,St. John's (NY),Big East,DI,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Ball State,MAC,FBS,182.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,45,27.5,0,0,3,55,0,0,0,0
102,Rice,Conference USA,FBS,179.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41.5,0,0,0,0,0,0,0,0
103,Campbell,Big South,FCS,178,33,37.5,61,10.5,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,54,18,0,0,0,0,0,0
104,Delaware,CAA,FCS,173,0,0,0,0,0,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
