,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
105,Southern-Baton Rouge (La.),162.5,33,25,61,12.0,0,0.0,0,0,0,0,0,0,49,25,33,25,33,25,0,0.0,0,0.0
106,Furman (S.C.),162.0,0,0,25,48.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
107,Iowa State,160.25,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
108,Butler (Ind.),158.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,39,33.5,0,0.0
108,Kansas,158.5,0,0,0,0.0,55,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24,0.0
110,Cincinnati (Ohio),158.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37,33.0
110,Creighton (Neb.),158.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0
112,Virginia Tech,157.0,0,0,0,0.0,55,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,57,13.5
113,Marquette (Wis.),151.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,5.0,0,0.0
113,South Florida,151.0,0,0,58,15.0,0,0.0,0,0,0,0,0,0,33,25,0,0,17,50,62,11.0,0,0.0
115,Houston (Tex.),150.5,9,64,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37,33.0
116,Portland (Ore.),150.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
116,South Alabama,150.0,17,50,0,0.0,0,0.0,0,0,0,0,0,0,0,0,17,50,17,50,0,0.0,0,0.0
116,Virginia Commonwealth,150.0,33,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,17,50,33,25,0,0.0,0,0.0
119,Southwest Texas State,149.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,9,64,0,0,0,0,49,0.0,0,0.0
119,St. Johns (N.Y.),149.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
121,Montana State,140.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,52,20.0
122,Loyola (Md.),138.0,0,0,0,0.0,79,5.0,3,83,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
123,Oral Roberts (Okla.),135.5,49,25,58,15.0,74,5.0,0,0,0,0,0,0,0,0,0,0,33,25,55,0.0,0,0.0
124,Northern Iowa,130.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
125,Hofstra (N.Y.),128.0,0,0,0,0.0,0,0.0,0,0,9,25,0,0,25,50,0,0,0,0,0,0.0,0,0.0
125,Weber State (Utah),128.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37,33.0
127,North Carolina-Wilmington,126.5,17,50,50,23.5,44,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
128,Manhattan (N.Y.),125.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
129,Georgia Southern,125.0,0,0,0,0.0,31,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
129,James Madison (Va.),125.0,0,0,0,0.0,64,7.5,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
129,Maine,125.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,40.0,0,0.0
129,Wisconsin-Milwaukee,125.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
133,Texas-El Paso,123.0,0,0,0,0.0,31,42.0,0,0,0,0,0,0,0,0,0,0,0,0,43,28.5,21,52.5
134,Oakland (Mich.),122.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0
134,Pacific (Cal.),122.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
136,Hampton (Va.),120.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,27,45.0
137,McNeese State (La.),115.0,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
137,Nevada,115.0,0,0,52,21.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
137,Santa Clara (Cal.),115.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
137,Vermont,115.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
141,Long Beach State (Cal.),114.0,9,64,0,0.0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0
142,Charleston (S.C.),110.5,0,0,0,0.0,37,35.5,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0.0
143,Massachusetts,110.0,0,0,0,0.0,0,0.0,0,0,5,60,0,0,17,50,0,0,0,0,0,0.0,0,0.0
144,U.S. Air Force Academy (Col.),108.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
145,Tulsa (Okla.),108.0,0,0,21,53.0,68,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
146,Lehigh (Penn.),105.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
