,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,Conference,Division,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
143,Big West,DI,Long Beach State,105.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25.0,33,25,0,0,66,5,0,0.0,0,0,0,0.0
144,Missouri Valley,DI,Wichita State (Kans.),104.5,0,0,0,0,68,5,0,0,0,0,0,0,0,0.0,33,25,0,0,38,35.5,0,0.0,0,0,0,0.0
145,Big West,FCS,Cal Poly,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,33,25,60,12,0,0.0,0,0,0,0.0
146,MEAC,FCS,Bethune-Cookman (Fla.),103.0,49,25,0,0,0,0,0,0,0,0,0,0,49,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
146,Southland,DI,Texas San Antonio,103.0,0,0,46,28,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
148,Missouri Valley,FCS,Northern Iowa,102.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
149,WCC,DI,Portland,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
150,Big East,FBS,Cincinnati,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
150,Big Sky,FCS,Eastern Washington,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
150,MAAC,FCS,Marist (N.Y.),100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,33,25,0,0,0,0.0,0,0,0,0.0
150,MEAC,DI,Maryland Eastern Shore,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
150,MEAC,FCS,South Carolina State,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,33,25,0,0,0,0.0,0,0,0,0.0
150,Horizon League,DI,Wisconsin Green Bay,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
150,Atlantic 10,DI,Xavier,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
157,Sun Belt,FBS,Western Kentucky,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,60,12,58,13.5,0,0,0,0.0
